area,title,community,position,tax,total_price,unit_price,hourseType,hourseSize,direction,fitment
罗湖区,鸣翠谷小区，鸟语花香，一梯两户，五房两厅，精装修。,鸣翠谷,银湖,房本满五年,980,66078,5室2厅,148.31,东南,精装
罗湖区,龙园山庄，全新装修大三房，朝南，有地下停车场，诚售,龙园山庄,清水河,,410,37084,3室2厅,110.56,南,精装
罗湖区,玉雅居 正规两房 实用 满五年,玉雅居,莲塘,房本满五年,240,52876,2室2厅,45.39,西,简装
罗湖区,新秀地铁口花园小区厅出大阳台 精装出售,锦秀新村,新秀,,335,51302,2室1厅,65.3,南 北,精装
罗湖区,一手业主 红本在手 正南向 户型方正 中间楼层,东湖医院住宅楼,百仕达,房本满五年,328,45248,2室2厅,72.49,南,简装
罗湖区,满五唯一，红本在手。西南朝向，户型方正,今日家园,布心,房本满五年,460,60006,3室1厅,76.66,南,简装
罗湖区,红本在手，满五年唯一，装修精致，视野开阔，居住舒适,仙桐御景,莲塘,房本满五年,390,53965,2室1厅,72.27,东北,精装
罗湖区,联城美园 高楼层 朝东向 一房 视野通风好,联城美园,春风路,房本满五年,210,61602,1室1厅,34.09,东,精装
罗湖区,此房满五年，红本在手，业主诚心出售，罗湖关口,罗湖大厦,春风路,房本满五年,205,44124,2室1厅,46.46,南,精装
罗湖区,螺岭，自如装修，华润湖贝就改，业主诚心出售，总价低,东门168,螺岭,,190,80339,1室0厅,23.65,东南,其他
罗湖区,耀华楼 大三房 户型方正 楼梯房 得房率高,耀华楼,东门,房本满五年,330,38182,3室2厅,86.43,北,简装
罗湖区,泊林花园 1室1厅 251万,泊林花园,翠竹,房本满五年,251,55716,1室1厅,45.05,西,简装
罗湖区,罗湖区东方都会大2房满5年红本在手 环境舒适,京基东方都会,新秀,房本满五年,310,51071,2室1厅,60.7,西南 西北,简装
罗湖区,宝泉庄 花园社区 一梯两户 精装大六房 南北通透,宝泉庄,地王,房本满五年,930,47449,6室2厅,196,南 北,精装
罗湖区,雅仕居 一室一厅 背靠红岗公园 交通方便,雅仕居,清水河,,168,49882,1室1厅,33.68,东南,精装
罗湖区,金城华庭优质一房一厅，业主诚心出售,金城华庭,螺岭,,285,79810,1室1厅,35.71,西北,精装
罗湖区,房子总价低，近地铁站 罗湖好房 二线关*,紫荆花园,布心,房本满五年,375,37697,3室2厅,99.48,西北,简装
罗湖区,诚心出售，少有安静舒适户型，价格可以谈,四季御园,莲塘,房本满五年,480,57164,3室2厅,83.97,西北,简装
罗湖区,峰度天下4房，户型方正近口岸。,峰度天下,新秀,房本满五年,530,61493,4室2厅,86.19,东南,简装
罗湖区,安静社区大三房，南面看山，红本在手,鹏兴花园五期,莲塘,房本满五年,580,55450,3室2厅,104.6,南,简装
罗湖区,1。户型方正.朝南. 2。精装修 看房方便 .家私家电.,金鼎大厦,春风路,,345,47957,2室2厅,71.94,南,精装
罗湖区,鹏兴花园三期精装修，朝南看花园大三房，安静舒适,鹏兴花园三期,莲塘,房本满五年,780,68266,3室1厅,114.26,南,精装
罗湖区,翠竹 万科俊园 满五红本 业主换房诚心出售 看房方便,万科俊园,黄贝岭,房本满五年,850,45213,4室2厅,188,东南,精装
罗湖区,花园社区，合正星园 精装复式五房，田贝地铁口,合正星园,翠竹,房本满五年,1150,103260,5室1厅,111.37,南,精装
罗湖区,新世界好房-一手业主，红本在手业主诚心出售,新世界鹿茵翠地,莲塘,房本满五年,550,51571,3室2厅,106.65,南,精装
罗湖区,翠盈嘉园 3室2厅 580万,翠盈嘉园,洪湖,房本满五年,580,55958,3室2厅,103.65,南,精装
罗湖区,满五唯一红本 带车位  精装修 大阳台 小区安静,鹏瑞仙桐雅轩罗湖区,莲塘,房本满五年,340,51657,2室2厅,65.82,北,精装
罗湖区,罗湖区华清园复式三房 满两年高层端头位置采光通风好,华清园,新秀,,315,42379,3室1厅,74.33,北,精装
罗湖区,精装修复式一房，红本在手，交通便利，总价便宜，,怡泰大厦,黄贝岭,,80,22161,1室1厅,36.1,南,精装
罗湖区,罗湖福田交界处 次新房 精装修 满五年高楼层,京基一百大厦,地王,房本满五年,220,69096,1室1厅,31.84,南,精装
罗湖区,旭飞正规两房一厅，采光充足，产权满五年唯一红本在手,旭飞华达园,百仕达,房本满五年,280,49192,2室1厅,56.92,西,简装
罗湖区,一梯两户 南北带阳台 小区中间 环境好 配套齐全 诚心,新港鸿花园,百仕达,房本满五年,560,55119,3室2厅,101.6,南,精装
罗湖区,业主诚心出售，必看好房采光通风好,金迪名苑,布心,,340,86076,1室1厅,39.5,南,简装
罗湖区,此房业主自住，看房方便 自己装修,华丽东村,黄贝岭,房本满五年,450,52479,2室1厅,85.75,南,精装
罗湖区,靠山小区，小高层住宅，南向舒适两房，无欠款,雍翠豪园,莲塘,,310,55229,2室1厅,56.13,南,精装
罗湖区,地铁口物业，交通方便，精装修，一房，配套完善，,海洋大厦,黄贝岭,房本满五年,190,42997,1室1厅,44.19,东北,精装
罗湖区,联城美园 花园小区 高楼层 朝南一房一厅,联城美园,春风路,,222,65046,1室1厅,34.13,南,精装
罗湖区,大滩大厦 3室1厅 290万,大滩大厦,罗湖口岸,房本满五年,290,43110,3室1厅,67.27,东南,简装
罗湖区,笋岗新社区，安静，物业管理好，总价低，急卖，地铁口,虹桥星座大厦,笋岗,房本满五年,160,50601,1室0厅,31.62,东南,精装
罗湖区,港澳8号 精装两房 近地铁口 红本在手,港澳8号,东门,房本满五年,263,39909,2室1厅,65.9,东南,精装
罗湖区,万科桂苑正规三房，东南向业主诚心出售,万科桂苑,地王,房本满五年,570,58283,3室1厅,97.8,东南,精装
罗湖区,莲塘+聚宝花园大四房+厅出阳台+赶紧来看看吧,聚宝花园,莲塘,房本满五年,470,51638,4室2厅,91.02,南 北,简装
罗湖区,碧湖花园三房 户型方正 楼层高采光好 业主诚心出售,碧湖花园,洪湖,房本满五年,465,43414,3室1厅,107.11,西南,简装
罗湖区,业主诚心卖三房 大社区 幽静 满五唯一,曲尺楼,黄贝岭,房本满五年,370,44833,3室1厅,82.53,南,简装
罗湖区,：彩世界家园精装修大2房，满五唯一，朝东南看马路,彩世界家园,布心,房本满五年,330,47980,2室1厅,68.78,南,简装
罗湖区,东门步行街 总价低 近地铁晒布站,东港中心,东门,,210,39902,1室1厅,52.63,东南,简装
罗湖区,蔡屋围 经典两房 总价低 没压力,日豪名园,地王,房本满五年,259,49808,2室1厅,52,西北,精装
罗湖区,湖贝地铁口物业，单价4.3万，精装修两房,港澳8号,东门,房本满五年,280,41667,2室1厅,67.2,东南,精装
罗湖区,国际名园 1室1厅 200万,国际名园,春风路,房本满五年,200,43526,1室1厅,45.95,东北,精装
罗湖区,新装修，大落地窗，距老街地铁站G出口100米，河景房！,港岛银座,地王,,190,46286,1室0厅,41.05,西北,精装
罗湖区,房子为商品房，目前满2年，业主诚心卖,聚福花园,莲塘,,523,44579,3室1厅,117.32,北,精装
罗湖区,此房是正规三房带窗户，客厅出阳台，满二，老街地铁,方海商苑,东门,房本满五年,320,36922,3室1厅,86.67,北,简装
罗湖区,汇锦名园  朝南3房 客厅房间正南,汇锦名园,螺岭,,530,61208,3室2厅,86.59,东南,精装
罗湖区,业主自住，保养好，户型方正，满五年，没有抵押,碧水园,洪湖,,470,47294,3室2厅,99.38,东南,精装
罗湖区,5、7号线太安站 东湖馨苑 三房满两年 居家安,中威联实业有限公司工会宿舍,百仕达,,420,48099,3室2厅,87.32,东南,精装
罗湖区,叠翠居复式三房 使用面积90平米 业主自住 看房方便,叠翠居,百仕达,房本满五年,380,65147,3室2厅,58.33,南,精装
罗湖区,高层 西南向 满五年红本在手 诚心出售！,云峰花园,春风路,房本满五年,400,37912,3室1厅,105.51,西南,简装
罗湖区,带大入户花园，全朝南户型，室内通透，业主诚心出售。,百仕达东郡,百仕达,房本满五年,1128,89446,3室2厅,126.11,东南,精装
罗湖区,集浩大厦 带装修2房 带6000元租约,集浩大厦,黄贝岭,,266,42377,2室2厅,62.77,南 北,精装
罗湖区,高层采光通风好，户型方正，满两年,京基东方都会,新秀,,120,46912,1室0厅,25.58,北,简装
罗湖区,大剧院地铁口物业，高楼层视野无遮挡，红本在手,名仕阁,地王,,265,47095,1室1厅,56.27,北,简装
罗湖区,20.57平一房 满两年 户型方正 精装修 小区封闭式管理,雅仕居,清水河,,100,48615,1室0厅,20.57,东南,精装
罗湖区,天越翔园 2室1厅 255万,天越翔园,莲塘,,255,56667,2室1厅,45,北,简装
罗湖区,业主诚心出售，精美装修，实用空间大，双阳台。,深港豪苑,地王,,410,49238,3室1厅,83.27,东南,精装
罗湖区,荔枝公园旁 居家大户型 近大剧院地铁 红本税少,美荔园,地王,房本满五年,750,59186,3室2厅,126.72,东 南,简装
罗湖区,龙园山庄 实用两房 红本在手 满五年,龙园山庄,清水河,房本满五年,248,39409,2室1厅,62.93,北,简装
罗湖区,罗湖口岸双地铁口物业，看香港山景,双城世纪,罗湖口岸,房本满五年,170,53325,1室1厅,31.88,南,精装
罗湖区,蔡屋围精装一房，户型方正，配套成熟,京基一百大厦,地王,,220,70717,1室0厅,31.11,南,简装
罗湖区,高层户型方正  红本在手交易快,鸿隆世纪广场,地王,房本满五年,450,45181,3室1厅,99.6,北,精装
罗湖区,《国都花园。格局方正三房》红本在手 税费少 一手业主,国都花园,地王,房本满五年,425,47991,3室1厅,88.56,东南,简装
罗湖区,满五年，红本在手，诚心出售，，,大信大厦,地王,房本满五年,320,35262,2室1厅,90.75,东北,简装
罗湖区,端头户型 两面采光 不临街 满二 干湿分离,蓝馨苑,黄贝岭,,225,78234,1室0厅,28.76,东,简装
罗湖区,华清园一房，满五红本在手近东湖公园及罗湖体院馆。,华清园,新秀,房本满五年,125,37914,1室1厅,32.97,南,简装
罗湖区,大剧院地铁高楼层1房，业主诚心出售，,骏庭名园,地王,,209,46424,1室1厅,45.02,西南,简装
罗湖区,此房满两年税费少，万象城商圈配套完善,城市天地广场,万象城,房本满五年,260,45495,1室1厅,57.15,南,精装
罗湖区,老街大剧院双地铁站 东南向 三房两卫 红本满五唯一,和平广场,地王,房本满五年,435,52071,3室1厅,83.54,东南,精装
罗湖区,长丰苑 小两房一厅 人车分流 适合过渡,长丰苑,春风路,,195,42679,2室1厅,45.69,西南,精装
罗湖区,翠沁阁大两房 满两年 三号线翠竹站 户型好 诚心出售,翠竹苑,百仕达,房本满五年,530,68520,2室1厅,77.35,东,简装
罗湖区,凯悦华庭 地铁口方正两房 高楼层  业主诚心卖,凯悦华庭,春风路,,315,45986,2室1厅,68.5,西北,精装
罗湖区,红桂皇冠精装标准方正一房一厅，红本，业主诚意出售,红桂皇冠,地王,,180,43374,1室1厅,41.5,东北,简装
罗湖区,满四年唯一，总价低，旁边是珠宝大厦,大地花园,布心,,208,39275,1室1厅,52.96,北,精装
罗湖区,东海大厦 3室1厅 358万,东海大厦,春风路,房本满五年,358,37908,3室1厅,94.44,东,简装
罗湖区,房子税费少 红本在手 楼层好 业主诚心卖,海关草埔生活区,布心,,330,42658,3室2厅,77.36,南,精装
罗湖区,兰亭国际大三房  装修好 业主诚心出售 看房方便,兰亭国际名园,莲塘,房本满五年,660,49625,3室2厅,133,北,精装
罗湖区,楼层好，视野宽阔，采光充足，满二业主自住,庐峰翠苑,黄贝岭,,820,65716,3室1厅,124.78,东北,精装
罗湖区,罗湖莲塘雍翠豪园满五唯一正规两房看山景美满,雍翠豪园,莲塘,房本满五年,310,50820,2室2厅,61,东北,精装
罗湖区,oh my god 这里有一天精装大两房出售,梧桐山新居,莲塘,房本满五年,390,48334,2室1厅,80.69,南,简装
罗湖区,玉雅居带电梯，已改小两房，满五年无增值税,玉雅居,莲塘,,215,50840,2室1厅,42.29,东,简装
罗湖区,金丽豪苑 4室1厅 730万,金丽豪苑,翠竹,房本满五年,730,63912,4室1厅,114.22,东北,精装
罗湖区,置地逸轩国贸物业 双地铁口 罗湖繁华地段,置地逸轩,春风路,房本满五年,262,55852,1室1厅,46.91,南,简装
罗湖区,金洲花园 精装大2房 满五唯一税费少 业主诚心放卖,金洲花园,布心,房本满五年,310,44104,2室2厅,70.29,南,精装
罗湖区,满5年，坐拥仙湖植物园和东湖资源,鹏兴花园一期,莲塘,房本满五年,398,50527,2室2厅,78.77,南,精装
罗湖区,阳光新干线超高层看香港山景精装浪漫满屋,阳光新干线家园,春风路,,348,57031,2室1厅,61.02,西南,精装
罗湖区,鸿隆世纪南向大四房，户型实用高层景观好,鸿隆世纪广场,地王,房本满五年,568,43552,4室1厅,130.42,北,简装
罗湖区,嘉宝田花园大社区 人车分流  南向三房,嘉宝田花园,笋岗,,628,71041,3室2厅,88.4,南,简装
罗湖区,一手业主 楼层佳采光好 税费少 业主有心卖,鹏瑞仙桐雅轩罗湖区,莲塘,房本满五年,365,53014,2室2厅,68.85,北,精装
罗湖区,梧桐山脚下，精装修自住房，红本满五年,梧桐山新居,莲塘,房本满五年,338,52830,2室2厅,63.98,西南,精装
罗湖区,莲塘关口物业，朝南复式大三房，户型方正厅出阳台,四季御园,莲塘,房本满五年,670,65195,3室1厅,102.77,南,简装
罗湖区,御景兰庭 3室1厅 520万,御景兰庭,莲塘,房本满五年,520,70595,3室1厅,73.66,东南,精装
罗湖区,满五唯一，正规两房，双阳台，采光好,蓝馨苑,黄贝岭,房本满五年,433,66616,2室1厅,65,东南,精装
罗湖区,翠怡苑 四房 满五唯一  省个税 看房方便,翠怡苑,布心,房本满五年,410,44917,4室2厅,91.28,东北,精装
罗湖区,名骏豪庭厅出阳台两房，看小区绿化，养眼,名骏豪庭,莲塘,房本满五年,350,52169,2室1厅,67.09,北,精装
罗湖区,业主诚心出售 3房 安静居家 深小桂园,深中街,东门,房本满五年,450,52424,3室1厅,85.84,东南,简装
罗湖区,百仕达乐湖 三房两卫 红本在手 厅出阳台 看房方便,百仕达乐湖,百仕达,,860,74254,3室1厅,115.82,东北,精装
罗湖区,梧桐山新居 2室1厅 280万,梧桐山新居,莲塘,,280,55108,2室1厅,50.81,南,精装
罗湖区,嘉宝田花园二期大三房  满五年 红本在手,嘉宝田花园,笋岗,房本满五年,665,60543,3室2厅,109.84,西北 北,简装
罗湖区,精装三房，满两年，看房方便，户型方正,都市名园,万象城,,595,56351,3室1厅,105.59,西,其他
罗湖区,鸿隆世纪广场正规大三房 诚心出售,鸿隆世纪广场,地王,,440,45129,3室1厅,97.5,北,简装
罗湖区,满五唯一 户型方正 交通便利 通风采光好,南洋大厦,春风路,房本满五年,260,45218,2室1厅,57.5,东,简装
罗湖区,湖馨苑复式三房，格局灵活，上下两层使用空间大！,湖馨苑,笋岗,房本满五年,310,76374,3室2厅,40.59,西,精装
罗湖区,曲尺楼曲尺楼大两房 红本在手 满五唯一,曲尺楼,黄贝岭,房本满五年,357,50891,2室2厅,70.15,南,精装
罗湖区,鹏兴花园五期 近举报路口公交站，南向，安静舒适,鹏兴花园五期,莲塘,房本满五年,460,63283,3室2厅,72.69,南,精装
罗湖区,嘉宝田花园三期东南高层 花园尽收眼底 采光好无死角,嘉宝田花园,笋岗,房本满五年,900,96660,4室2厅,93.11,南,精装
罗湖区,国贸正规三房，近罗湖口岸金光华广场,罗湖医院医疗科技楼,春风路,,415,39904,3室2厅,104,南,简装
罗湖区,嘉景苑 2室1厅 350万,嘉景苑,笋岗,房本满五年,350,54323,2室1厅,64.43,南,精装
罗湖区,洪湖花园，厅出阳台看全湖景房，红本看房方便出售,洪湖花园,洪湖,房本满五年,400,47985,2室2厅,83.36,东南,精装
罗湖区,满五唯一东南向采光通风好，看房可约我链家小乔,庐峰翠苑,黄贝岭,房本满五年,800,64113,3室1厅,124.78,东 南,精装
罗湖区,合正荣悦，高层正规小两房，采光很好，翠竹,合正荣悦,黄贝岭,房本满五年,470,93514,2室1厅,50.26,西南,精装
罗湖区,龙园山庄，中楼层，南北通户型，居家舒适,龙园山庄,清水河,房本满五年,400,39499,4室2厅,101.27,东南,简装
罗湖区,翠园未用，满五，红本，少有放盘,东兴大院,布心,房本满五年,500,55979,3室2厅,89.32,南,简装
罗湖区,罗湖待 拆物业、南北通大3房、业主诚心售 带大露台,红群楼,地王,房本满五年,520,58290,3室2厅,89.21,南,其他
罗湖区,四季御园  南向客厅 莲塘口岸景观 诚意出售,四季御园,莲塘,,550,61044,3室2厅,90.1,南,简装
罗湖区,精装修   看房方便，小清新风格,怡泰大厦,黄贝岭,房本满五年,66,23118,1室0厅,28.55,东,精装
罗湖区,罗湖口岸       红本在手     有钥匙看房,怡都大厦,罗湖口岸,房本满五年,307,27938,3室1厅,109.89,西南,精装
罗湖区,湖溪大厦少有户型，满五交通便利,湖溪大厦,东门,房本满五年,240,41231,2室1厅,58.21,东南,精装
罗湖区,房子属于老社区花园，满五年无增值税，税费少。。,桃花园,笋岗,,245,56439,1室1厅,43.41,南,简装
罗湖区,金园花园朝南高楼层，满五年红本在手，适合居家,金园花园,地王,房本满五年,380,57963,2室1厅,65.56,南,精装
罗湖区,此房满两年，免去增值税，红本在手，租客看房保养好,碧湖花园,洪湖,房本满五年,410,44839,3室1厅,91.44,西北,简装
罗湖区,此房是大开间 28平 有外阳台 独立的厨房 洗手间,TCL雅馨居,地王,,133,46881,1室0厅,28.37,北,简装
罗湖区,庐山花园 满五年 红本在手 高楼层 精装修 采光好,庐山花园,罗湖口岸,房本满五年,185,42354,1室1厅,43.68,东南,精装
罗湖区,此房满两年，红本在手，楼下就是儿童公园。,同乐大厦,东门,房本满五年,256,39982,2室1厅,64.03,东南,精装
罗湖区,高楼层 视野开阔 诚心出售少量欠款,京基东方颐园,螺岭,房本满五年,355,82559,2室1厅,43,北,精装
罗湖区,此房满五年唯一，2房改的3房，业主诚心出售,金洲花园,布心,房本满五年,290,45569,3室1厅,63.64,东南,简装
罗湖区,港岛银座大一房一厅，品质生活。,港岛银座,地王,房本满五年,250,41821,1室1厅,59.78,东南,简装
罗湖区,粤海花园，满五年，精装修，业主诚心出售,粤海花园,春风路,房本满五年,330,37814,3室2厅,87.27,东南,精装
罗湖区,锦上花家园方正2房，满五年，红本在手东南,锦上花家园,黄贝岭,房本满五年,265,51748,2室1厅,51.21,东南,精装
罗湖区,无缝对接7号线地铁口 满五精装两房出售 高层出阳台,笋岗大厦,笋岗,,240,42942,2室1厅,55.89,西南,精装
罗湖区,精美装修，满五唯一省费用，红本在手，,清水河生活小区,清水河,房本满五年,240,59687,1室1厅,40.21,东 南,简装
罗湖区,高层朝南2房  满五唯一红本在手,汇泰大厦,罗湖口岸,房本满五年,238,60284,2室1厅,39.48,东南,精装
罗湖区,凤凰印象两房 业主诚心出售 价格可以谈,凤凰印象,螺岭,,445,71280,2室1厅,62.43,东 北,精装
罗湖区,灵动户型，*三房，适合自住,名骏豪庭,莲塘,,325,47205,2室2厅,68.85,北,简装
罗湖区,装修保养好，华润湖贝*，户型通透，采光好,东门168,螺岭,房本满五年,395,64218,2室1厅,61.51,南,精装
罗湖区,此房满五年，红本在手，税费少，不用赎楼！,联城美园,春风路,房本满五年,198,54970,1室1厅,36.02,西北,精装
罗湖区,朗钜御风庭 一房一厅 适合住家,朗钜御风庭,黄贝岭,房本满五年,245,52006,1室1厅,47.11,西北,精装
罗湖区,满二，装修好，采光好，看房方便，诚心卖,东门天下,东门,,380,57307,2室1厅,66.31,东南 西南,精装
罗湖区,东门老街商圈，双地铁口物业，价格便宜，总价低,南塘物业小区,东门,,220,41053,2室1厅,53.59,东南,简装
罗湖区,必看好房 港澳8号 红本在手 精装1房 近地铁,港澳8号,东门,房本满五年,200,41272,1室1厅,48.46,南,精装
罗湖区,钻石时代 中等楼层 大开间 户型方正,钻石时代,春风路,,125,46007,1室0厅,27.17,西北,简装
罗湖区,嘉宝田花园业主自住大两房朝南户型,嘉宝田花园,笋岗,房本满五年,450,68473,2室1厅,65.72,南,简装
罗湖区,罗湖口岸，广东省银行大厦，大两房出售,广东省银行大厦,罗湖口岸,,288,36745,2室1厅,78.38,东南,精装
罗湖区,置地逸轩 两室一厅 南向高层视野好,置地逸轩,春风路,,335,62164,2室1厅,53.89,南,简装
罗湖区,朗钜御风庭 红本一房一厅，双阳台 双口岸，双地铁,朗钜御风庭,黄贝岭,房本满五年,245,55455,1室1厅,44.18,西南,精装
罗湖区,国际名园单间 满两年免增值税地铁口物业 业主诚心出售,国际名园,春风路,,105,43732,1室0厅,24.01,东南,简装
罗湖区,港丰大厦 精装修 看房方便 诚心放卖,港澳8号,东门,房本满五年,193,45402,1室1厅,42.51,东南,精装
罗湖区,花园式小区，中高楼层，满两年，2号线、5号线黄贝岭站,金城华庭,螺岭,,285,78233,1室1厅,36.43,东南,精装
罗湖区,满两年 翠竹山下精致两房 业主诚心急售,翠拥华庭,百仕达,房本满五年,480,55002,2室2厅,87.27,东南,精装
罗湖区,鸿翔花园南向两房的公寓，社区大花园，居家舒服,鸿翔花园,地王,房本满五年,360,65265,2室1厅,55.16,西南,简装
罗湖区,总价低税费少满二提前预约诚心出售 看房方便 闹中取静,明华广场,东门,,240,41061,2室1厅,58.45,西南,简装
罗湖区,名仕阁大1房1厅出售  满两年 有钥匙看房方便,名仕阁,地王,,275,47365,1室1厅,58.06,东北,精装
罗湖区,南向京基三房 精装修 晒布地铁 繁华生活区,京基东方颐园,螺岭,房本满五年,680,74244,3室2厅,91.59,南,精装
罗湖区,荔枝公园、美荔园、朝东大两房 地铁3号线红岭站,美荔园,地王,房本满五年,560,67723,2室1厅,82.69,东 南,精装
罗湖区,看花园住家安静，满五年，精装修即买即住,雍翠豪园,莲塘,房本满五年,228,57402,1室1厅,39.72,西,精装
罗湖区,交通便利，采光好，业主诚意卖，装修好,金城大厦,春风路,房本满五年,172,46487,2室1厅,37,西,精装
罗湖区,朝向好，客厅出大阳台（5.6平方），户型方正,金洲花园,布心,房本满五年,350,44913,3室1厅,77.93,南,精装
罗湖区,田心大厦 靓户型一房一厅 全面落地大窗大客厅,田心大厦,笋岗,房本满五年,210,44624,1室1厅,47.06,西南,简装
罗湖区,公园里的家 双地铁物业 满两年税费少,翠拥华庭,百仕达,,310,68889,1室2厅,45,南 北,精装
罗湖区,容易上车的两房，户型好，总价低，,谱心苑,布心,房本满五年,268,48719,2室2厅,55.01,东南,简装
罗湖区,红本在手  满五年 高楼层  厅出阳台,凯悦华庭,春风路,房本满五年,330,51863,2室1厅,63.63,东南,精装
罗湖区,东乐花园 3室1厅 370万,东乐花园,百仕达,房本满五年,370,38842,3室1厅,95.26,东北,精装
罗湖区,罗湖铂金时代一居室 满五年唯一双地铁口岸物业,铂金时代罗湖,罗湖口岸,房本满五年,193,48408,1室1厅,39.87,东,精装
罗湖区,金城华庭，花园式社区，两房，大阳台，满五，精装修,金城华庭,螺岭,房本满五年,449,80438,2室1厅,55.82,北,精装
罗湖区,满两年，总价低，近湖贝就改，宜居易租,都心名苑,螺岭,,205,57279,1室0厅,35.79,南,简装
罗湖区,南塘物业小区 3室1厅 290万,南塘物业小区,东门,房本满五年,290,38370,3室1厅,75.58,东,简装
罗湖区,罗湖京基100旁边，配套齐全，交通便利，,名仕阁,地王,,267,49445,1室1厅,54,东北,精装
罗湖区,和平广场 厅出阳台精装两房 下拉有图 带空中花园泳池,和平广场,地王,,333,52967,2室1厅,62.87,东北,精装
罗湖区,东门步行街物业，易出租，3号线地铁物业。,新风花园,东门,,240,47254,2室2厅,50.79,西南,精装
罗湖区,地铁口旁物业，一房一厅，交通方便。,田心大厦,笋岗,房本满五年,195,41393,1室1厅,47.11,东,简装
罗湖区,此房 户型方正 总价低 楼层高 视野开阔,旭飞华天苑,清水河,,110,38829,1室1厅,28.33,北 东北,简装
罗湖区,红桂皇冠 满两年的单间 地铁3号线和9号线,红桂皇冠,地王,,140,46636,1室0厅,30.02,西,简装
罗湖区,云景豪园厅出阳台2+1房 已改衣帽间，满五唯一  采光好,云景豪园,春风路,房本满五年,355,48926,3室1厅,72.56,西北,精装
罗湖区,满五年优质套一，业主诚心出售，中高楼层，精致装修,金城华庭,螺岭,,292,77475,1室1厅,37.69,西 北,精装
